name
Арт
Безумие
Боевик
Боевые искусства
Вампиры
Военное
Гарем
Гендерная интрига
Героическое фэнтези
Демоны
Детектив
Детское
Дзёсэй
Драма
Игра
Исекай
История
Киберпанк
Кодомо
Комедия
Космос
Магия
Махо-сёдзё
Машины
Меха
Мистика
Музыка
Научная фантастика
Омегаверс
Пародия
Повседневность
Полиция
Постапокалиптика
Приключения
Психология
Романтика
Самурайский боевик
Сверхъестественное
Сёдзё
Сёдзё-ай
Сёнэн
Сёнэн-ай
Спорт
Супер сила
Сэйнэн
Трагедия
Триллер
Ужасы
Фантастика
Фэнтези
Школа
